id;name;description;start_date;end_date
1;duh;victory stiff;2024-09-15;2024-09-15
2;lengthen;unbearably around bah;2024-09-15;2024-09-15
3;marten mid miserably;phew oh;2024-09-14;2024-09-14
4;and dishonor alight;um blah sans;2024-09-14;2024-09-15
5;and;armament tuck;2024-09-14;2024-09-14
6;versus;yuck gasp;2024-09-14;2024-09-14
7;reciprocate;vane brr apse;2024-09-15;2024-09-14
8;wherever;wherever;2024-09-14;2024-09-15
9;horrible;ultimately dead;2024-09-15;2024-09-15
10;quoth;finally;2024-09-14;2024-09-14
