id;name;start_date;end_date;goal;total_points
1;lest;2024-09-14;2024-09-15;or blah;26486
2;whether;2024-09-14;2024-09-14;oof up officially;30558
3;disloyal plastic victoriously;2024-09-14;2024-09-15;uniform whoever renew;11041
4;political;2024-09-15;2024-09-14;safely;5266
5;apud;2024-09-14;2024-09-15;without psst;9731
6;generous;2024-09-15;2024-09-15;icicle perch;9321
7;free;2024-09-15;2024-09-15;ick of hm;8038
8;dial;2024-09-15;2024-09-15;boo now;20248
9;mortally justly;2024-09-14;2024-09-14;hastily drat readily;2853
10;fruitful yippee;2024-09-14;2024-09-15;clumsy;11400
