id;sequence_no;story_points;from_time;thru_time;assigned_time;duration
1;22157;32256;2024-09-14T23:38:12;2024-09-14T23:41:10;2024-09-15T06:46:42;17360
2;2708;21168;2024-09-14T15:21:29;2024-09-14T20:30:53;2024-09-15T07:25:03;30942
3;22757;26091;2024-09-14T23:06:00;2024-09-14T14:12:32;2024-09-14T12:01:41;11304
4;17318;22645;2024-09-14T12:06:07;2024-09-15T05:52:01;2024-09-14T12:56:15;4864
5;12062;14148;2024-09-15T01:02:17;2024-09-14T13:33:41;2024-09-15T10:07:58;9712
6;14514;7260;2024-09-14T14:22:03;2024-09-14T16:51:55;2024-09-14T13:56:21;13936
7;16000;11623;2024-09-15T03:08:40;2024-09-15T05:26:07;2024-09-14T18:02:14;398
8;6768;15001;2024-09-14T13:16:32;2024-09-14T18:31:57;2024-09-15T02:27:12;639
9;29198;29732;2024-09-14T12:31:52;2024-09-14T14:50:09;2024-09-14T18:45:02;18569
10;26781;22689;2024-09-14T13:48:44;2024-09-14T19:40:44;2024-09-15T02:55:51;25660
