id;title;description;priority;due_date;info;story_points;start_time;pause_time;end_time;total_duration;sequence_no;project_id
1;blah;ack unnecessarily within;MEDIUM;2024-09-14;../fake-data/blob/hipster.txt;22556;2024-09-15T09:20:42;2024-09-14T12:23:58;2024-09-15T03:12:24;24331;28666;1
2;um cube;since snooper awesome;LOW;2024-09-14;../fake-data/blob/hipster.txt;29772;2024-09-14T18:14:10;2024-09-14T10:52:07;2024-09-15T05:49:04;16786;15608;2
3;below generously;till;HIGH;2024-09-15;../fake-data/blob/hipster.txt;8725;2024-09-15T08:52:22;2024-09-14T13:25:10;2024-09-14T19:34:40;4315;22924;3
4;and;rue till;HIGH;2024-09-14;../fake-data/blob/hipster.txt;24426;2024-09-15T00:25:11;2024-09-15T02:39:21;2024-09-14T18:41:36;24493;559;4
5;inasmuch;midst glossy as;LOW;2024-09-15;../fake-data/blob/hipster.txt;4539;2024-09-14T22:55:05;2024-09-15T09:23:19;2024-09-15T10:30:51;5647;13085;5
6;hotfoot upwardly beautifully;fortunately;HIGH;2024-09-15;../fake-data/blob/hipster.txt;20962;2024-09-14T22:30:51;2024-09-14T15:37:50;2024-09-15T00:21:10;9390;7933;6
7;jovially;concerning while ha;CRITICAL;2024-09-14;../fake-data/blob/hipster.txt;32137;2024-09-14T13:12:26;2024-09-14T18:32:52;2024-09-15T03:35:14;23385;28028;7
8;qua naturally if;minus;CRITICAL;2024-09-14;../fake-data/blob/hipster.txt;24822;2024-09-14T21:12:24;2024-09-15T05:51:12;2024-09-14T21:34:14;8477;18653;8
9;firm reconcile;hotfoot where how;HIGH;2024-09-15;../fake-data/blob/hipster.txt;3099;2024-09-15T03:36:06;2024-09-14T15:56:45;2024-09-14T17:57:44;1530;11035;9
10;wisely;blissfully strictly yieldingly;CRITICAL;2024-09-15;../fake-data/blob/hipster.txt;28880;2024-09-14T11:37:01;2024-09-14T14:44:03;2024-09-14T11:49:39;20960;13367;10
